iter	Passed	Remaining
883	1113	146
884	1115	144
885	1116	143
886	1117	142
887	1118	141
888	1119	139
889	1121	138
890	1122	137
891	1123	136
892	1124	134
893	1126	133
894	1127	132
895	1128	131
896	1130	129
897	1131	128
898	1132	127
899	1133	125
900	1135	124
901	1136	123
902	1137	122
903	1138	120
904	1139	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1145	113
910	1146	111
911	1147	110
912	1148	109
913	1150	108
914	1151	106
915	1152	105
916	1153	104
917	1154	103
918	1155	101
919	1156	100
920	1157	99
921	1158	98
922	1159	96
923	1161	95
924	1162	94
925	1163	93
926	1164	91
927	1165	90
928	1167	89
929	1168	87
930	1169	86
931	1170	85
932	1171	84
933	1172	82
934	1173	81
935	1174	80
936	1175	79
937	1177	77
938	1178	76
939	1179	75
940	1180	74
941	1181	72
942	1182	71
943	1183	70
944	1184	68
945	1185	67
946	1187	66
947	1188	65
948	1189	63
949	1190	62
950	1191	61
951	1193	60
952	1194	58
953	1195	57
954	1196	56
955	1197	55
956	1198	53
957	1199	52
958	1200	51
959	1202	50
960	1203	48
961	1204	47
962	1205	46
963	1206	45
964	1208	43
965	1209	42
966	1210	41
967	1211	40
968	1213	38
969	1214	37
970	1215	36
971	1216	35
972	1217	33
973	1219	32
974	1220	31
975	1221	30
976	1223	28
977	1224	27
978	1225	26
979	1226	25
980	1227	23
981	1228	22
982	1229	21
983	1231	20
984	1232	18
985	1233	17
986	1234	16
987	1235	15
988	1236	13
989	1238	12
990	1239	11
991	1241	10
992	1242	8
993	1243	7
994	1244	6
995	1245	5
996	1246	3
997	1247	2
998	1249	1
999	1250	0
